type,nr,localized_name,api_name,unoconv,extensions,flags
global,2,Text Encoded (OpenOffice.org Master Document),Text (encoded) (StarWriter/GlobalDocument),,,IMPORT EXPORT ALIEN
global,3,StarWriter 3.0,StarWriter 3.0 (StarWriter/GlobalDocument),,,EXPORT TEMPLATE ALIEN 3RDPARTYFILTER
global,4,StarWriter 4.0,StarWriter 4.0 (StarWriter/GlobalDocument),,,EXPORT TEMPLATE ALIEN 3RDPARTYFILTER
global,5,StarWriter 5.0,StarWriter 5.0 (StarWriter/GlobalDocument),,,EXPORT TEMPLATE ALIEN 3RDPARTYFILTER
global,6,HTML (Writer/Global),writerglobal8_HTML,,,EXPORT ALIEN NOTINCHOOSER ASYNCHRON
global,7,ODF Master Document,writerglobal8,,,IMPORT EXPORT TEMPLATE OWN PREFERED
global,8,ODF Text Document,writerglobal8_writer,,,EXPORT TEMPLATE
global,9,StarWriter 4.0 Master Document,StarWriter 4.0/GlobalDocument,,,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER
global,10,StarWriter 5.0 Master Document,StarWriter 5.0/GlobalDocument,,,IMPORT EXPORT TEMPLATE OWN ALIEN 3RDPARTYFILTER
global,11,PDF - Portable Document Format,writer_globaldocument_pdf_Export,,,EXPORT ALIEN 3RDPARTYFILTER
global,12,OpenOffice.org 1.0 Text Document,writer_globaldocument_StarOffice_XML_Writer,,,EXPORT TEMPLATE ALIEN
spreadsheet,1,Web Page Query (OpenOffice.org Calc),calc_HTML_WebQuery,,,IMPORT ALIEN
spreadsheet,2,OpenOffice.org 1.0 Spreadsheet Template,calc_StarOffice_XML_Calc_Template,stc,stc,IMPORT EXPORT TEMPLATE TEMPLATEPATH OWN ALIEN
spreadsheet,3,OpenOffice.org 1.0 Spreadsheet,StarOffice XML (Calc),sxc,sxc,IMPORT EXPORT TEMPLATE OWN ALIEN
spreadsheet,4,Microsoft Excel 2007 XML Template,Calc MS Excel 2007 XML Template,,,IMPORT TEMPLATE TEMPLATEPATH ALIEN 3RDPARTYFILTER
spreadsheet,5,Data Interchange Format,DIF,dif,dif,IMPORT EXPORT ALIEN USESOPTIONS
spreadsheet,6,Microsoft Excel 97/2000/XP Template,MS Excel 97 Vorlage/Template,xlt,xlt,IMPORT EXPORT TEMPLATE TEMPLATEPATH ALIEN
spreadsheet,7,HTML Document (OpenOffice.org Calc),HTML (StarCalc),html,html,IMPORT EXPORT ALIEN
spreadsheet,8,Microsoft Excel 5.0,MS Excel 5.0/95,xls5,xls,IMPORT EXPORT ALIEN PREFERED
spreadsheet,9,Unified Office Format spreadsheet,UOF spreadsheet,uos,uos,IMPORT EXPORT ALIEN 3RDPARTYFILTER
